project_id,project_name,programming_language,module_name,lines_of_code,code_smell_type,severity_level,refactoring_applied,refactoring_type,maintainability_score,bug_density,review_date
873,Ride Sharing App,C++,Module_55,369,Large Class,High,No,Extract Method,6.63,5.47,2022-05-22
874,Healthcare Platform,Python,Module_12,597,Dead Code,Medium,Yes,Split Class,3.93,9.01,2022-05-23
875,Social Media App,JavaScript,Module_35,1408,Magic Numbers,Medium,Yes,Remove Dead Code,5.2,3.03,2022-05-24
876,Learning Management System,C++,Module_184,521,Magic Numbers,Medium,No,Remove Dead Code,9.44,8.36,2022-05-25
877,Learning Management System,Go,Module_144,3237,Dead Code,High,Yes,Replace Magic Number,3.55,2.46,2022-05-26
878,Banking System,Python,Module_125,1722,Magic Numbers,Low,Yes,Move Method,6.06,8.26,2022-05-27
879,E-Commerce App,Go,Module_191,3559,Duplicate Code,Medium,No,Replace Magic Number,8.4,1.48,2022-05-28
880,Healthcare Platform,Go,Module_276,198,Feature Envy,Critical,Yes,Remove Dead Code,4.05,4.37,2022-05-29
881,E-Commerce App,C#,Module_138,2628,Large Class,Critical,Yes,Rename Variable,3.91,10.38,2022-05-30
882,Inventory Management,C++,Module_210,3156,Feature Envy,Critical,No,Extract Method,5.38,2.54,2022-05-31
883,E-Commerce App,C#,Module_203,608,Magic Numbers,Critical,Yes,Split Class,6.97,2.52,2022-06-01
884,E-Commerce App,Python,Module_193,2528,Large Class,Low,Yes,Split Class,6.35,12.66,2022-06-02
885,Social Media App,C#,Module_205,231,Spaghetti Code,Critical,No,Replace Magic Number,4.77,1.44,2022-06-03
886,Healthcare Platform,Python,Module_134,281,Long Method,Critical,No,Remove Dead Code,7.98,0.87,2022-06-04
887,Learning Management System,C++,Module_200,2944,Duplicate Code,Low,Yes,Replace Magic Number,6.09,0.31,2022-06-05
888,E-Commerce App,Java,Module_269,3561,Large Class,Critical,No,Replace Magic Number,5.84,3.28,2022-06-06
889,Learning Management System,C++,Module_173,3213,Long Method,Critical,Yes,Split Class,7.75,7.99,2022-06-07
890,Inventory Management,C++,Module_47,1380,God Class,Critical,Yes,Extract Method,2.39,14.01,2022-06-08
891,Healthcare Platform,C#,Module_245,4143,Magic Numbers,Medium,Yes,Move Method,6.92,5.07,2022-06-09
892,Ride Sharing App,C#,Module_194,4149,Dead Code,Medium,Yes,Move Method,6.79,0.61,2022-06-10
893,Healthcare Platform,JavaScript,Module_214,3871,Spaghetti Code,Medium,Yes,Move Method,3.31,1.69,2022-06-11
894,Ride Sharing App,Python,Module_297,2829,Dead Code,Low,No,Extract Method,1.18,10.54,2022-06-12
895,E-Commerce App,Go,Module_197,938,Spaghetti Code,High,Yes,Split Class,3.85,6.6,2022-06-13
896,Inventory Management,Python,Module_51,4874,Feature Envy,Critical,Yes,Replace Magic Number,6.13,7.03,2022-06-14
897,Ride Sharing App,Python,Module_261,3699,Feature Envy,Medium,Yes,Rename Variable,4.44,4.42,2022-06-15
898,Learning Management System,C#,Module_271,781,Large Class,Critical,Yes,Replace Magic Number,8.25,2.67,2022-06-16
899,Healthcare Platform,C#,Module_237,2553,God Class,High,Yes,Move Method,6.43,12.68,2022-06-17
900,Social Media App,C++,Module_115,4951,Dead Code,High,No,Extract Method,3.77,10.42,2022-06-18
901,Ride Sharing App,Go,Module_242,3018,Dead Code,Medium,No,Remove Dead Code,7.02,11.97,2022-06-19
902,Social Media App,JavaScript,Module_109,1017,Duplicate Code,Medium,No,Remove Dead Code,5.14,13.18,2022-06-20
903,Healthcare Platform,Go,Module_248,1913,Large Class,Medium,Yes,Extract Method,7.55,3.04,2022-06-21
904,Learning Management System,C++,Module_201,702,Large Class,High,No,Split Class,3.43,11.7,2022-06-22
905,Social Media App,Java,Module_88,2232,Magic Numbers,Critical,No,Remove Dead Code,3.88,6.3,2022-06-23
906,Learning Management System,C++,Module_29,1959,Dead Code,High,Yes,Remove Dead Code,1.58,3.65,2022-06-24
907,E-Commerce App,C#,Module_258,3348,Dead Code,High,Yes,Replace Magic Number,7.54,12.82,2022-06-25
908,Social Media App,Java,Module_212,4333,Dead Code,High,Yes,Remove Dead Code,4.59,5.96,2022-06-26
909,Healthcare Platform,C#,Module_176,2116,Feature Envy,Medium,Yes,Extract Method,6.37,6.84,2022-06-27
910,Healthcare Platform,JavaScript,Module_155,1446,Dead Code,Low,Yes,Extract Method,8.01,14.4,2022-06-28
911,Social Media App,Java,Module_284,4387,Dead Code,Low,No,Move Method,3.69,11.9,2022-06-29
912,Healthcare Platform,JavaScript,Module_128,2422,God Class,Medium,Yes,Split Class,1.31,3.88,2022-06-30
913,E-Commerce App,Go,Module_19,3695,Large Class,Low,No,Extract Method,7.82,4.69,2022-07-01
914,Ride Sharing App,Go,Module_64,1628,Large Class,Critical,No,Rename Variable,9.71,3.33,2022-07-02
915,Healthcare Platform,C#,Module_47,2405,Dead Code,Critical,Yes,Remove Dead Code,5.02,5.69,2022-07-03
916,Healthcare Platform,Java,Module_277,3005,Large Class,Critical,Yes,Split Class,7.47,7.4,2022-07-04
917,Healthcare Platform,Java,Module_267,1993,Spaghetti Code,Low,Yes,Inline Method,6.67,14.97,2022-07-05
918,Ride Sharing App,C++,Module_8,1331,Duplicate Code,Low,No,Move Method,7.08,7.28,2022-07-06
919,Banking System,JavaScript,Module_216,515,Feature Envy,High,No,Replace Magic Number,4.16,14.61,2022-07-07
920,Inventory Management,C#,Module_287,2179,Dead Code,High,Yes,Rename Variable,4.78,12.26,2022-07-08
921,Banking System,C#,Module_6,4883,Spaghetti Code,Medium,Yes,Extract Method,6.48,10.64,2022-07-09
922,Ride Sharing App,Go,Module_96,2118,Long Method,High,No,Extract Method,3.27,14.22,2022-07-10
923,E-Commerce App,Go,Module_289,4517,Spaghetti Code,High,No,Move Method,6.82,4.0,2022-07-11
924,Inventory Management,JavaScript,Module_67,2633,Magic Numbers,Low,No,Split Class,1.6,2.2,2022-07-12
925,Social Media App,Python,Module_223,4999,Dead Code,Low,Yes,Remove Dead Code,8.71,12.4,2022-07-13
926,Ride Sharing App,C++,Module_259,2915,Large Class,High,No,Split Class,1.88,1.95,2022-07-14
927,Ride Sharing App,Go,Module_47,1055,Large Class,High,No,Extract Method,6.23,8.63,2022-07-15
928,Social Media App,Python,Module_51,3033,Feature Envy,Low,Yes,Replace Magic Number,3.27,13.31,2022-07-16
929,Learning Management System,C++,Module_92,2819,Spaghetti Code,Medium,Yes,Replace Magic Number,3.03,7.03,2022-07-17
930,Learning Management System,Python,Module_212,3948,Dead Code,Low,Yes,Move Method,8.47,6.46,2022-07-18
931,Learning Management System,Go,Module_295,333,Spaghetti Code,Low,No,Replace Magic Number,7.16,8.54,2022-07-19
932,E-Commerce App,JavaScript,Module_221,4347,Duplicate Code,High,Yes,Remove Dead Code,3.78,10.82,2022-07-20
933,Ride Sharing App,JavaScript,Module_274,311,Dead Code,Low,No,Replace Magic Number,8.33,14.75,2022-07-21
934,Healthcare Platform,Java,Module_176,212,Large Class,Critical,No,Split Class,2.41,12.9,2022-07-22
935,E-Commerce App,C++,Module_275,1163,Duplicate Code,High,No,Remove Dead Code,6.65,7.68,2022-07-23
936,Ride Sharing App,C++,Module_129,4014,Dead Code,Low,No,Inline Method,2.63,7.23,2022-07-24
937,Healthcare Platform,Java,Module_34,69,Duplicate Code,High,No,Move Method,1.39,13.92,2022-07-25
938,Learning Management System,C#,Module_103,2945,Duplicate Code,High,Yes,Extract Method,4.7,1.51,2022-07-26
939,Ride Sharing App,JavaScript,Module_158,3859,God Class,Critical,Yes,Split Class,9.97,14.07,2022-07-27
940,Banking System,Go,Module_137,530,Magic Numbers,Critical,No,Inline Method,5.46,6.72,2022-07-28
941,Learning Management System,C++,Module_155,2253,Dead Code,Low,No,Remove Dead Code,6.18,5.71,2022-07-29
942,E-Commerce App,C++,Module_197,355,Dead Code,Medium,No,Split Class,8.98,1.72,2022-07-30
943,Healthcare Platform,Java,Module_143,3190,Spaghetti Code,Medium,Yes,Replace Magic Number,6.51,3.02,2022-07-31
944,Banking System,C#,Module_239,3883,God Class,High,No,Move Method,8.74,8.47,2022-08-01
945,Learning Management System,Java,Module_179,3814,Long Method,Low,No,Replace Magic Number,3.0,1.33,2022-08-02
946,Banking System,C++,Module_124,883,Magic Numbers,Low,No,Inline Method,9.99,5.47,2022-08-03
947,Healthcare Platform,C++,Module_242,2899,God Class,High,No,Replace Magic Number,3.69,7.95,2022-08-04
948,Social Media App,Python,Module_74,4062,Duplicate Code,High,Yes,Replace Magic Number,5.17,9.88,2022-08-05
949,Ride Sharing App,Java,Module_63,603,God Class,Low,No,Split Class,5.56,11.14,2022-08-06
950,Inventory Management,Java,Module_223,1964,Long Method,High,Yes,Remove Dead Code,4.08,1.0,2022-08-07
951,Ride Sharing App,JavaScript,Module_177,1064,Duplicate Code,High,Yes,Move Method,3.02,10.45,2022-08-08
952,Inventory Management,JavaScript,Module_292,1466,Dead Code,Low,Yes,Replace Magic Number,7.38,10.15,2022-08-09
953,Banking System,Java,Module_106,3706,Magic Numbers,Low,No,Replace Magic Number,8.95,2.14,2022-08-10
954,Banking System,Python,Module_109,1502,Long Method,Low,No,Extract Method,2.98,13.41,2022-08-11
955,Social Media App,Java,Module_150,4045,Large Class,Medium,No,Remove Dead Code,9.66,9.93,2022-08-12
956,Learning Management System,JavaScript,Module_25,1908,Dead Code,Medium,Yes,Rename Variable,5.26,9.31,2022-08-13
957,Healthcare Platform,C#,Module_260,2937,Feature Envy,Medium,No,Extract Method,2.5,14.31,2022-08-14
958,Social Media App,JavaScript,Module_20,4087,Long Method,Medium,No,Remove Dead Code,6.44,12.55,2022-08-15
959,Ride Sharing App,JavaScript,Module_71,851,Dead Code,Medium,No,Inline Method,7.66,14.28,2022-08-16
960,Social Media App,C++,Module_274,302,Spaghetti Code,High,No,Rename Variable,9.91,11.66,2022-08-17
961,Banking System,C#,Module_271,4263,Large Class,Medium,No,Rename Variable,8.37,3.79,2022-08-18
962,Social Media App,Python,Module_33,3279,Spaghetti Code,Medium,No,Extract Method,4.96,7.77,2022-08-19
963,E-Commerce App,C#,Module_76,2103,Duplicate Code,Medium,Yes,Move Method,8.93,4.58,2022-08-20
964,E-Commerce App,JavaScript,Module_215,259,Spaghetti Code,High,Yes,Replace Magic Number,1.45,5.68,2022-08-21
965,Learning Management System,Go,Module_68,3483,Duplicate Code,High,Yes,Replace Magic Number,2.89,7.67,2022-08-22
966,Social Media App,C++,Module_216,4747,Feature Envy,Medium,Yes,Extract Method,8.88,14.78,2022-08-23
967,Ride Sharing App,JavaScript,Module_1,4691,Large Class,Low,No,Rename Variable,6.14,14.01,2022-08-24
968,E-Commerce App,Go,Module_204,3613,God Class,Critical,Yes,Rename Variable,1.64,7.25,2022-08-25
969,Inventory Management,Python,Module_156,4385,Long Method,Critical,No,Move Method,5.86,4.04,2022-08-26
970,Learning Management System,JavaScript,Module_47,346,Magic Numbers,High,Yes,Rename Variable,3.02,2.97,2022-08-27
971,Inventory Management,C++,Module_213,214,Large Class,High,No,Move Method,6.68,1.54,2022-08-28
972,Inventory Management,C++,Module_192,482,Dead Code,Medium,Yes,Replace Magic Number,3.43,14.34,2022-08-29
973,Healthcare Platform,Java,Module_5,3100,Dead Code,Low,No,Extract Method,8.82,14.71,2022-08-30
974,Social Media App,Python,Module_83,3680,Magic Numbers,Low,No,Extract Method,9.36,1.26,2022-08-31
975,Learning Management System,Python,Module_177,118,God Class,Critical,No,Split Class,8.0,6.12,2022-09-01
976,Ride Sharing App,C#,Module_51,3242,Dead Code,Critical,No,Replace Magic Number,2.67,3.09,2022-09-02
977,E-Commerce App,Python,Module_133,1122,Long Method,Low,No,Rename Variable,1.09,13.43,2022-09-03
978,Healthcare Platform,JavaScript,Module_133,4527,Spaghetti Code,Medium,Yes,Remove Dead Code,9.64,7.52,2022-09-04
979,Learning Management System,Go,Module_54,3443,Magic Numbers,Critical,Yes,Move Method,8.2,5.15,2022-09-05
980,E-Commerce App,C#,Module_237,401,Dead Code,High,Yes,Split Class,8.61,6.43,2022-09-06
981,Inventory Management,C#,Module_232,1494,Dead Code,Low,No,Inline Method,4.93,4.26,2022-09-07
982,Banking System,Python,Module_177,2809,Feature Envy,Critical,No,Split Class,5.37,1.57,2022-09-08
983,Ride Sharing App,Java,Module_121,4725,Long Method,Low,No,Split Class,9.86,12.56,2022-09-09
984,E-Commerce App,JavaScript,Module_194,178,Large Class,Low,No,Remove Dead Code,3.09,1.04,2022-09-10
985,Social Media App,C#,Module_267,151,Duplicate Code,Critical,No,Remove Dead Code,9.07,9.57,2022-09-11
986,Ride Sharing App,Go,Module_284,3151,Magic Numbers,Low,Yes,Rename Variable,9.73,10.16,2022-09-12
987,Learning Management System,Python,Module_275,3099,Dead Code,Low,No,Replace Magic Number,4.75,0.14,2022-09-13
988,Inventory Management,Go,Module_65,4903,Dead Code,High,Yes,Move Method,5.94,5.64,2022-09-14
989,Ride Sharing App,Java,Module_89,2437,God Class,Critical,Yes,Extract Method,9.57,9.37,2022-09-15
990,Inventory Management,JavaScript,Module_49,4639,Magic Numbers,Medium,Yes,Rename Variable,6.94,8.19,2022-09-16
991,E-Commerce App,Go,Module_277,3883,Magic Numbers,Critical,No,Inline Method,5.28,1.88,2022-09-17
992,Social Media App,C#,Module_297,4899,Duplicate Code,Low,Yes,Replace Magic Number,1.47,4.26,2022-09-18
993,Social Media App,Python,Module_150,979,Duplicate Code,Medium,Yes,Extract Method,1.57,13.27,2022-09-19
994,Healthcare Platform,Go,Module_164,2817,Spaghetti Code,Critical,Yes,Remove Dead Code,4.36,1.7,2022-09-20
995,Ride Sharing App,Java,Module_20,203,Spaghetti Code,Critical,Yes,Inline Method,8.66,11.15,2022-09-21
996,Inventory Management,JavaScript,Module_176,1389,Duplicate Code,Low,No,Move Method,7.01,2.22,2022-09-22
997,Inventory Management,Python,Module_106,3074,Large Class,Medium,Yes,Replace Magic Number,3.22,11.5,2022-09-23
998,Inventory Management,JavaScript,Module_142,1252,Feature Envy,Critical,No,Extract Method,2.0,8.48,2022-09-24
999,Inventory Management,C#,Module_257,2775,Spaghetti Code,High,No,Extract Method,6.68,4.01,2022-09-25
1000,Ride Sharing App,Python,Module_247,4512,Magic Numbers,Critical,No,Rename Variable,3.23,4.95,2022-09-26
1001,Banking System,Java,Module_103,4163,God Class,Critical,No,Split Class,5.11,2.52,2022-09-27
1002,Ride Sharing App,C#,Module_158,2176,Spaghetti Code,Low,No,Extract Method,3.89,10.22,2022-09-28
1003,Social Media App,Python,Module_103,2925,Feature Envy,High,No,Replace Magic Number,7.85,1.87,2022-09-29
1004,Inventory Management,Python,Module_111,2706,Feature Envy,Low,No,Remove Dead Code,8.02,13.58,2022-09-30
1005,E-Commerce App,C++,Module_156,4971,Duplicate Code,High,Yes,Move Method,5.73,6.0,2022-10-01
1006,Banking System,Java,Module_156,4119,Large Class,Medium,Yes,Rename Variable,4.49,2.8,2022-10-02
1007,Social Media App,JavaScript,Module_297,1537,Magic Numbers,Medium,Yes,Split Class,3.04,0.71,2022-10-03
1008,Inventory Management,Go,Module_118,4088,Long Method,Critical,No,Inline Method,5.35,4.04,2022-10-04
1009,Learning Management System,Go,Module_117,4881,Duplicate Code,Critical,No,Remove Dead Code,4.45,6.93,2022-10-05
1010,Ride Sharing App,C#,Module_227,2270,Dead Code,Medium,No,Replace Magic Number,5.81,9.38,2022-10-06
1011,Banking System,C#,Module_114,3763,Large Class,Medium,No,Extract Method,5.62,9.07,2022-10-07
1012,Banking System,Python,Module_201,1510,Feature Envy,Medium,Yes,Extract Method,4.59,6.34,2022-10-08
1013,Inventory Management,Python,Module_206,2749,Large Class,Low,Yes,Remove Dead Code,9.59,1.92,2022-10-09
1014,Learning Management System,Java,Module_235,2735,Magic Numbers,High,Yes,Rename Variable,8.14,1.63,2022-10-10
1015,Learning Management System,JavaScript,Module_116,3879,Long Method,Low,No,Move Method,6.12,1.12,2022-10-11
1016,Learning Management System,Python,Module_220,4172,Long Method,High,No,Rename Variable,7.97,13.87,2022-10-12
1017,Healthcare Platform,Java,Module_29,1831,Feature Envy,Critical,Yes,Rename Variable,1.97,4.08,2022-10-13
1018,E-Commerce App,JavaScript,Module_44,3868,Magic Numbers,Critical,Yes,Extract Method,1.06,6.72,2022-10-14
1019,Ride Sharing App,Go,Module_84,4605,Large Class,Low,Yes,Replace Magic Number,8.36,4.56,2022-10-15
1020,Banking System,Go,Module_139,4985,Long Method,Low,Yes,Extract Method,4.1,11.49,2022-10-16
1021,Ride Sharing App,Java,Module_8,4360,Spaghetti Code,Low,Yes,Inline Method,1.24,12.82,2022-10-17
1022,Healthcare Platform,Go,Module_184,835,Magic Numbers,High,No,Split Class,4.54,14.38,2022-10-18
1023,Healthcare Platform,C#,Module_92,3942,Dead Code,Low,No,Remove Dead Code,9.28,1.57,2022-10-19
1024,Learning Management System,Python,Module_248,168,Long Method,Low,No,Extract Method,5.37,11.68,2022-10-20
1025,E-Commerce App,Python,Module_27,3006,Dead Code,Low,No,Move Method,8.43,12.63,2022-10-21
1026,Inventory Management,Python,Module_190,3379,Duplicate Code,High,Yes,Rename Variable,9.5,4.82,2022-10-22
1027,Healthcare Platform,Go,Module_289,4289,God Class,Low,Yes,Rename Variable,9.19,6.48,2022-10-23
1028,Learning Management System,JavaScript,Module_61,2837,Duplicate Code,Medium,Yes,Extract Method,6.4,3.64,2022-10-24
1029,Inventory Management,C#,Module_24,4249,Dead Code,Medium,Yes,Inline Method,1.03,12.22,2022-10-25
1030,Healthcare Platform,Java,Module_65,1085,Long Method,Medium,No,Extract Method,7.03,8.24,2022-10-26
1031,Inventory Management,Python,Module_63,4975,Long Method,Low,No,Replace Magic Number,8.35,4.7,2022-10-27
1032,Healthcare Platform,Java,Module_202,2720,Large Class,Low,No,Replace Magic Number,7.75,6.4,2022-10-28
1033,Banking System,C++,Module_5,4368,Dead Code,Medium,Yes,Rename Variable,5.49,11.24,2022-10-29
1034,Ride Sharing App,C++,Module_149,2674,Large Class,High,Yes,Split Class,4.1,4.83,2022-10-30
1035,E-Commerce App,C#,Module_160,2196,Feature Envy,Critical,Yes,Extract Method,1.14,2.39,2022-10-31
1036,Ride Sharing App,C++,Module_152,746,Spaghetti Code,Medium,No,Remove Dead Code,6.32,3.73,2022-11-01
1037,Inventory Management,C#,Module_16,1182,Duplicate Code,Critical,Yes,Move Method,4.32,1.72,2022-11-02
1038,Learning Management System,C#,Module_180,4829,Spaghetti Code,Critical,No,Inline Method,9.3,9.98,2022-11-03
1039,Social Media App,Java,Module_16,2093,Dead Code,Low,No,Remove Dead Code,4.66,8.57,2022-11-04
1040,Inventory Management,Python,Module_21,3581,Dead Code,Medium,No,Extract Method,4.06,7.17,2022-11-05
1041,Healthcare Platform,Go,Module_17,3248,Long Method,Critical,Yes,Move Method,7.15,2.85,2022-11-06
1042,Ride Sharing App,C#,Module_195,1667,Feature Envy,Medium,Yes,Replace Magic Number,9.8,4.91,2022-11-07
1043,Inventory Management,Java,Module_214,4401,Duplicate Code,Medium,Yes,Split Class,3.6,9.72,2022-11-08
1044,Healthcare Platform,C#,Module_213,2701,Spaghetti Code,High,Yes,Remove Dead Code,2.61,11.82,2022-11-09
1045,Banking System,Java,Module_169,3905,Duplicate Code,Critical,No,Replace Magic Number,9.06,11.2,2022-11-10
1046,Learning Management System,Python,Module_40,3373,Feature Envy,Critical,Yes,Move Method,4.87,11.31,2022-11-11
1047,Inventory Management,JavaScript,Module_69,3732,Large Class,Medium,No,Inline Method,9.33,9.49,2022-11-12
1048,Banking System,JavaScript,Module_288,2722,Large Class,High,Yes,Replace Magic Number,7.8,2.97,2022-11-13
1049,Healthcare Platform,Go,Module_229,3157,Magic Numbers,Medium,Yes,Move Method,8.35,12.96,2022-11-14
1050,Inventory Management,JavaScript,Module_282,3335,Dead Code,Medium,Yes,Rename Variable,2.41,0.15,2022-11-15
1051,Healthcare Platform,Go,Module_295,4876,Feature Envy,Medium,Yes,Split Class,7.44,10.14,2022-11-16
1052,Social Media App,C#,Module_233,4803,God Class,Critical,Yes,Extract Method,5.66,6.35,2022-11-17
1053,Social Media App,JavaScript,Module_201,2485,Dead Code,Critical,Yes,Remove Dead Code,5.25,12.92,2022-11-18
1054,Social Media App,Python,Module_253,2510,Magic Numbers,High,Yes,Move Method,9.73,8.91,2022-11-19
1055,Healthcare Platform,Java,Module_240,1502,Spaghetti Code,Critical,Yes,Split Class,2.03,10.22,2022-11-20
1056,E-Commerce App,Java,Module_163,2425,Feature Envy,Low,Yes,Rename Variable,3.34,5.94,2022-11-21
1057,E-Commerce App,Python,Module_280,3325,Spaghetti Code,Critical,No,Replace Magic Number,2.0,2.79,2022-11-22
1058,Learning Management System,Java,Module_49,4017,Spaghetti Code,High,Yes,Extract Method,2.24,2.83,2022-11-23
1059,Learning Management System,JavaScript,Module_126,2230,Magic Numbers,Medium,Yes,Split Class,8.68,8.43,2022-11-24
1060,Learning Management System,C#,Module_79,4370,Duplicate Code,High,No,Inline Method,5.45,7.06,2022-11-25
1061,Inventory Management,C#,Module_279,1195,Spaghetti Code,High,No,Move Method,6.78,0.79,2022-11-26
1062,Ride Sharing App,JavaScript,Module_98,3233,Long Method,Critical,Yes,Extract Method,8.44,14.47,2022-11-27
1063,Inventory Management,Go,Module_131,1652,Large Class,Medium,Yes,Move Method,8.91,14.13,2022-11-28
1064,Banking System,Java,Module_108,2563,Dead Code,Low,Yes,Extract Method,2.87,4.14,2022-11-29
1065,Social Media App,C#,Module_203,1497,Dead Code,Low,No,Remove Dead Code,4.59,5.1,2022-11-30
1066,Learning Management System,JavaScript,Module_250,1196,God Class,Critical,No,Rename Variable,4.37,1.32,2022-12-01
1067,Inventory Management,Python,Module_20,496,God Class,High,Yes,Extract Method,2.4,11.06,2022-12-02
1068,Banking System,Java,Module_63,308,Large Class,High,No,Split Class,7.61,13.61,2022-12-03
1069,Ride Sharing App,C++,Module_95,3642,Magic Numbers,Critical,No,Extract Method,5.83,13.56,2022-12-04
1070,Inventory Management,C#,Module_24,1119,Large Class,Medium,Yes,Replace Magic Number,1.24,14.25,2022-12-05
1071,Ride Sharing App,Python,Module_242,3946,God Class,Critical,No,Replace Magic Number,5.64,9.07,2022-12-06
1072,Learning Management System,Java,Module_20,4175,Magic Numbers,Medium,No,Remove Dead Code,3.46,3.3,2022-12-07
1073,Inventory Management,Java,Module_146,2116,Feature Envy,Medium,Yes,Move Method,4.66,5.34,2022-12-08
1074,Healthcare Platform,Java,Module_222,3656,God Class,Critical,No,Rename Variable,2.46,6.18,2022-12-09
1075,E-Commerce App,JavaScript,Module_160,4537,Large Class,Low,Yes,Remove Dead Code,2.18,0.51,2022-12-10
1076,Inventory Management,Python,Module_62,1205,Large Class,Critical,Yes,Split Class,4.94,13.11,2022-12-11
1077,Banking System,Go,Module_253,1225,Large Class,Low,No,Split Class,1.5,4.91,2022-12-12
1078,Ride Sharing App,JavaScript,Module_31,670,Duplicate Code,Critical,Yes,Remove Dead Code,4.69,4.11,2022-12-13
1079,Ride Sharing App,JavaScript,Module_171,4542,God Class,Critical,Yes,Split Class,4.06,10.02,2022-12-14
1080,E-Commerce App,Java,Module_58,3284,Duplicate Code,Critical,Yes,Move Method,4.4,8.99,2022-12-15
1081,Inventory Management,Python,Module_228,3859,Spaghetti Code,Critical,Yes,Inline Method,4.9,12.51,2022-12-16
1082,Ride Sharing App,Python,Module_293,3240,Dead Code,Low,Yes,Replace Magic Number,6.37,0.59,2022-12-17
1083,Healthcare Platform,Go,Module_273,3988,God Class,High,No,Replace Magic Number,9.59,5.85,2022-12-18
1084,Learning Management System,Java,Module_235,4369,Magic Numbers,Medium,Yes,Replace Magic Number,9.15,9.56,2022-12-19
1085,Inventory Management,Java,Module_148,3533,Dead Code,High,No,Remove Dead Code,3.13,9.29,2022-12-20
1086,Inventory Management,Go,Module_35,1386,Magic Numbers,Medium,No,Replace Magic Number,4.31,12.28,2022-12-21
1087,Ride Sharing App,JavaScript,Module_271,802,Feature Envy,Low,No,Move Method,6.12,3.02,2022-12-22
1088,Healthcare Platform,JavaScript,Module_50,1352,Dead Code,Critical,No,Replace Magic Number,8.98,2.09,2022-12-23
1089,Social Media App,C++,Module_91,2818,Magic Numbers,Low,Yes,Move Method,1.66,3.25,2022-12-24
1090,Ride Sharing App,C++,Module_26,564,Magic Numbers,Medium,No,Inline Method,2.04,14.45,2022-12-25
1091,Ride Sharing App,JavaScript,Module_130,4760,Magic Numbers,Critical,Yes,Extract Method,6.16,6.04,2022-12-26
1092,Social Media App,C++,Module_127,4716,Long Method,Critical,No,Extract Method,2.29,0.48,2022-12-27
1093,Healthcare Platform,JavaScript,Module_183,1137,Feature Envy,Low,No,Remove Dead Code,4.85,7.39,2022-12-28
1094,Social Media App,Java,Module_170,1228,Dead Code,High,Yes,Extract Method,6.85,10.25,2022-12-29
1095,E-Commerce App,Python,Module_162,4076,Magic Numbers,High,No,Replace Magic Number,6.01,2.09,2022-12-30
1096,Healthcare Platform,Go,Module_19,3340,Large Class,Critical,No,Replace Magic Number,2.83,11.21,2022-12-31
1097,Banking System,Python,Module_52,3396,God Class,Critical,Yes,Remove Dead Code,4.36,8.94,2023-01-01
1098,Inventory Management,C#,Module_290,2908,Feature Envy,Low,Yes,Move Method,4.77,4.56,2023-01-02
1099,E-Commerce App,JavaScript,Module_9,3514,Long Method,Medium,No,Split Class,6.01,0.61,2023-01-03
1100,Social Media App,C++,Module_29,2871,Large Class,Low,Yes,Remove Dead Code,4.29,7.3,2023-01-04
1101,E-Commerce App,Python,Module_259,895,Long Method,Low,No,Split Class,2.21,12.41,2023-01-05
1102,E-Commerce App,JavaScript,Module_54,4846,Dead Code,Low,No,Replace Magic Number,3.11,9.91,2023-01-06
1103,Inventory Management,C#,Module_189,2716,Large Class,Critical,Yes,Rename Variable,2.49,4.54,2023-01-07
1104,Healthcare Platform,C#,Module_262,4097,Feature Envy,Critical,No,Remove Dead Code,4.58,0.67,2023-01-08
1105,Learning Management System,Java,Module_290,463,Duplicate Code,High,No,Move Method,8.17,5.4,2023-01-09
1106,Ride Sharing App,Go,Module_168,3277,Spaghetti Code,Medium,No,Replace Magic Number,3.28,9.29,2023-01-10
1107,Banking System,C++,Module_206,1053,Large Class,High,Yes,Inline Method,9.25,3.22,2023-01-11
1108,Healthcare Platform,C#,Module_55,3705,God Class,Low,Yes,Extract Method,6.07,3.48,2023-01-12
1109,Social Media App,Python,Module_5,933,Long Method,High,No,Rename Variable,3.56,14.2,2023-01-13
1110,Inventory Management,JavaScript,Module_240,1576,Duplicate Code,Critical,Yes,Inline Method,4.96,0.44,2023-01-14
1111,Banking System,C#,Module_207,2835,Spaghetti Code,Low,No,Move Method,3.16,8.86,2023-01-15
1112,Ride Sharing App,Java,Module_238,2779,Long Method,High,Yes,Remove Dead Code,8.6,7.0,2023-01-16
1113,Inventory Management,Python,Module_82,2517,Magic Numbers,High,Yes,Inline Method,9.25,6.0,2023-01-17
1114,Learning Management System,Python,Module_235,437,Magic Numbers,Medium,Yes,Extract Method,1.35,12.83,2023-01-18
1115,Social Media App,JavaScript,Module_197,3520,Spaghetti Code,High,No,Split Class,2.95,1.67,2023-01-19
1116,Learning Management System,C++,Module_56,4493,Magic Numbers,Critical,No,Inline Method,2.17,6.75,2023-01-20
1117,Ride Sharing App,JavaScript,Module_33,3773,God Class,Medium,No,Split Class,4.9,13.24,2023-01-21
1118,Learning Management System,JavaScript,Module_169,729,Magic Numbers,Medium,No,Extract Method,3.97,0.47,2023-01-22
1119,Inventory Management,Python,Module_241,4051,Magic Numbers,High,Yes,Split Class,3.55,6.47,2023-01-23
1120,Ride Sharing App,Python,Module_240,1683,Dead Code,Medium,No,Rename Variable,5.31,11.93,2023-01-24
